priority,source_key,name,provider,category,access_method,license_or_terms,primary_fields,fit_for_project,next_action,official_url
P0,beijing_realtime_parking,"实时停车泊位","北京市大数据中心","official_dynamic_parking","API/XLSX; requires Beijing public data userKey","北京市公共数据开放平台条款; 页面显示无条件开放; 成果需注明来源","停车场id;停车场编号;停车场名称;开放泊位数;剩余泊位数;空闲类型","城市级余位展示; 拥挤程度; 推荐排序","拿到 userKey 后做在线拉取; 当前先支持离线 XLSX/CSV 导入","https://data.beijing.gov.cn/zyml/hcsjj/9e243f1b889d46f0baeaaff3e34c9acd.htm"
P0,beijing_roadside_parking_basic,"路侧停车位基础信息","北京市交通委员会","official_static_parking","CSV/XLSX/API; requires Beijing public data userKey for API","北京市公共数据开放平台条款; 页面显示无条件开放","停车场名;位置/道路名;泊位数量;经度;纬度","北京路侧停车资源地图层; 供给分布分析","优先写离线 CSV/XLSX 导入脚本","https://data.beijing.gov.cn/zyml/ajg/sjtw/17457.htm"
P0,beijing_parking_fee_standards,"停车场收费标准清单信息","北京市大数据中心","official_fee_rules","XLSX/API; requires Beijing public data userKey for API","北京市公共数据开放平台条款; 页面显示无条件开放","文号;停车场类别;车辆类别;免费时间;计次收费;计时收费;所属县区;备注","用户端收费展示; 治理端价格分区分析","先作为 metadata/fee_rule 导入, 不做在线支付","https://data.beijing.gov.cn/zyml/hcsjj/4325cec63e2744ccbbd9e39f4581ea9e.htm"
P1,beijing_parking_facilities,"停车场设施信息","北京市大数据中心","official_static_facility","CSV/XLSX/API; requires application/userKey","北京市公共数据开放平台条款; 页面显示有条件开放","车厂编号;车厂名称;泊位数量;所属单位;所在道路;道路哪侧;收费方式","停车场基础档案; 收费方式补充","申请/登录核验后再导入, 不要假设可批量使用","https://data.beijing.gov.cn/zyml/AIsj/4bc1b7356a2c4a309335949c4a4ee8db.htm"
P1,haidian_offstreet_parking_archive,"路外公共停车场备案信息","海淀区","district_archive_parking","File/API; requires Beijing public data userKey for API","北京市公共数据开放平台条款; 往年开放数据","停车场名称;停车场类型;详细地址;经营单位","海淀高校/中关村试点备案数据补充","作为历史参考层, 导入时标记 archive/update_year","https://data.beijing.gov.cn/publish/bjdata/zyml/wnkfsj/1be0f127a4934987b4194ef0a0d39bf0.htm"
P1,osm_overpass_parking,"OpenStreetMap parking POI via Overpass","OpenStreetMap contributors","open_map_poi","Overpass API; no business key","ODbL; must attribute OSM and contributors; derived database share-alike risk","amenity=parking;parking=*;access=*;fee=*;capacity=*;name;center lat/lon","停车 POI 补全; 地图可视化; 周边距离计算","先做只读候选层 candidate_parking_lots, 避免覆盖官方/校园数据","https://wiki.openstreetmap.org/wiki/Parking"
P1,cnrpark_ext,"CNRPark+EXT","CNR/University of Pisa related researchers","ai_vision_dataset","Official dataset download","ODbL v1.0","occupied/vacant parking-space patches; multi-camera; weather; lighting","车位占用识别训练和验证主数据集","补 dataset loader 和小样本验证流程","https://cnrpark.it/"
P2,pklot,"PKLot","UFPR/PUCPR researchers","ai_vision_dataset","Original research access under request; mirrored on Kaggle/HuggingFace","Original access/license must be verified; cite paper","parking lot images; segmented parking spaces; occupied/vacant; weather labels","跨停车场/跨天气验证","只在许可证核验后下载使用; 不直接混入最终工程","https://www.inf.ufpr.br/lesoliveira/download/pklot-readme.pdf"
P2,carpk,"CARPK","Original CARPK dataset authors; mirrors via Activeloop etc.","ai_vehicle_counting_dataset","Deep Lake / dataset mirrors","License must be verified per mirror","drone images; vehicle bounding boxes","车辆检测/计数; 拥挤程度估计","作为扩展验证, 不作为固定车位主训练集","https://datasets.activeloop.ai/docs/ml/datasets/carpk-dataset/"
P2,beijing_12345_annual_report,"北京 12345 年度数据报告","北京市政务服务和数据管理局/首都之窗","governance_aggregate_report","Public PDF report","Public government report; aggregate only, not raw tickets","交通管理问题;停车管理问题年度/月度统计","治理端背景指标; 需求痛点论证","只做宏观分析, 不声称接入原始诉求","https://www.beijing.gov.cn/hudong/jpzt/2023ndsjbg/202403/P020240325373218213907.pdf"
P3,amap_baidu_poi,"高德/百度地图 POI API","高德地图/百度地图","commercial_map_api","Requires API key and platform terms","Not open-source/open data; subject to provider ToS","parking POI; route; distance; geocoding","产品验证; 地理编码; 路线距离","作为可选补充, 不作为开源数据库主线","https://lbs.amap.com/"
