parking_lot_source_id,parking_lot_name,camera_id,slot_number,x,y,width,height,coordinate_space,frame_width,frame_height,notes
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,1,1338,1343,690,1040,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,2,2013,1305,746,1063,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,3,2510,1275,870,1033,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,4,2981,1253,840,930,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,5,3365,1245,635,814,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,6,822,1388,724,972,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,7,453,1430,675,859,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,8,201,1474,602,763,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,9,0,1510,540,679,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,10,366,855,356,293,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,11,481,804,395,310,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,12,640,757,411,308,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,13,827,707,419,304,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
