parking_lot_source_id,parking_lot_name,camera_id,slot_number,x,y,width,height,coordinate_space,frame_width,frame_height,notes
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,1,82,214,56,118,pixel,1280,720,演示 ROI：东门样例视频源第 1 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,2,145,214,57,118,pixel,1280,720,演示 ROI：东门样例视频源第 2 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,3,209,215,58,116,pixel,1280,720,演示 ROI：东门样例视频源第 3 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,4,274,216,58,116,pixel,1280,720,演示 ROI：东门样例视频源第 4 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,5,339,216,60,116,pixel,1280,720,演示 ROI：东门样例视频源第 5 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,6,405,218,60,114,pixel,1280,720,演示 ROI：东门样例视频源第 6 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,7,472,219,61,114,pixel,1280,720,演示 ROI：东门样例视频源第 7 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,8,540,220,62,114,pixel,1280,720,演示 ROI：东门样例视频源第 8 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,9,610,221,62,112,pixel,1280,720,演示 ROI：东门样例视频源第 9 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,10,681,222,64,112,pixel,1280,720,演示 ROI：东门样例视频源第 10 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,11,754,223,64,111,pixel,1280,720,演示 ROI：东门样例视频源第 11 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,12,827,224,66,110,pixel,1280,720,演示 ROI：东门样例视频源第 12 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,13,98,372,58,112,pixel,1280,720,演示 ROI：东门样例视频源第 13 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,14,164,371,58,113,pixel,1280,720,演示 ROI：东门样例视频源第 14 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,15,230,371,59,113,pixel,1280,720,演示 ROI：东门样例视频源第 15 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,16,297,370,59,114,pixel,1280,720,演示 ROI：东门样例视频源第 16 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,17,365,370,60,114,pixel,1280,720,演示 ROI：东门样例视频源第 17 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,18,434,369,60,115,pixel,1280,720,演示 ROI：东门样例视频源第 18 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,19,504,369,61,115,pixel,1280,720,演示 ROI：东门样例视频源第 19 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,20,575,368,62,116,pixel,1280,720,演示 ROI：东门样例视频源第 20 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,21,647,368,62,116,pixel,1280,720,演示 ROI：东门样例视频源第 21 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,22,720,367,63,117,pixel,1280,720,演示 ROI：东门样例视频源第 22 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,23,794,367,64,117,pixel,1280,720,演示 ROI：东门样例视频源第 23 号车位
BJU_CAMPUS_DEMO_001,北京高校校园东门试点停车场,CAMERA_CAMPUS_DEMO_001,24,869,366,65,118,pixel,1280,720,演示 ROI：东门样例视频源第 24 号车位
